file,animal,band0,band1,band2,band3,band4,band5,band6,band7,band8,band9,band10,band11,band12,band13,band14,band15,band16,band17,band18,band19,band20,band21,band22,band23,band24
audio-dataset/cats_dogs/cat_155.wav,1,0.7050563535130036,-0.3287008059848828,-5.662655827198618,-14.188788641431636,-15.310402103740236,-17.998279224493672,-18.85100883945985,-18.241340715873644,-19.93779542390064,-15.906534454323,-16.881474571219297,-39.93780388636289,-42.04961013793945,-42.04961013793945,-42.04961013793945,-42.04961013793945,-42.04961013793945,-42.04961013793945,-42.04961013793945,-42.04961013793945,-42.04961013793945,-42.04961013793945,-42.04961013793945,-42.04961013793945,-42.04961013793945
audio-dataset/cats_dogs/cat_141.wav,1,-6.591917836626993,1.8661648970688698,4.701617343973086,-3.2142503780540492,-2.568043189142995,-6.514498902550514,-7.323606998891337,-11.84579653763026,-15.282203815611348,-18.88104528427124,-26.349221418698622,-47.75840379714966,-50.62889099121094,-50.62889099121094,-50.62889099121094,-50.62889099121094,-50.62889099121094,-50.62889099121094,-50.62889099121094,-50.62889099121094,-50.62889099121094,-50.62889099121094,-50.62889099121094,-50.62889099121094,-50.62889099121094
audio-dataset/cats_dogs/dog_barking_10.wav,0,-0.011381959473542924,-9.190624045711193,-21.3231710389877,-29.523082464933395,-31.957955895898174,-32.15504284274769,-32.124024619771674,-30.442826968070236,-33.06282464172933,-34.82325207335608,-38.51697390097561,-41.438909690488465,-41.464534759521484,-41.464534759521484,-41.464534759521484,-41.464534759521484,-41.464534759521484,-41.464534759521484,-41.464534759521484,-41.464534759521484,-41.464534759521484,-41.464534759521484,-41.464534759521484,-41.464534759521484,-41.464534759521484
audio-dataset/cats_dogs/cat_13.wav,1,-14.376461547404812,-26.436802762312738,-31.6402914599134,-35.1722759966689,-39.87987356198109,-42.49976777591363,-40.31660969257355,-42.04645302592844,-43.29441785131182,-44.72096562178238,-48.5064331040866,-50.13709279005078,-50.14061737060547,-50.14061737060547,-50.14061737060547,-50.14061737060547,-50.14061737060547,-50.14061737060547,-50.14061737060547,-50.14061737060547,-50.14061737060547,-50.14061737060547,-50.14061737060547,-50.14061737060547,-50.14061737060547
audio-dataset/cats_dogs/dog_barking_38.wav,0,-0.10346138883695752,-2.4207408408247035,-21.5341790675508,-24.284359816760386,-38.024924074123106,-35.6584592389515,-42.78996687713597,-42.45133347842428,-40.71507409806289,-39.04705170411912,-42.50116009568727,-44.51317615310351,-44.538421630859375,-44.538421630859375,-44.538421630859375,-44.538421630859375,-44.538421630859375,-44.538421630859375,-44.538421630859375,-44.538421630859375,-44.538421630859375,-44.538421630859375,-44.538421630859375,-44.538421630859375,-44.538421630859375
audio-dataset/cats_dogs/cat_36.wav,1,-4.66564336290771,-7.588943232111231,-9.81283990310484,-16.39442783310353,-23.22153582946626,-25.59038462072136,-31.23350430360537,-32.94861427108753,-32.88212494397556,-33.43255891255371,-38.691774156797926,-51.4682931308686,-52.27418004865535,-52.27672002891793,-52.27839962204486,-52.27951988789707,-52.2802652815507,-52.280796522374246,-52.28113485098262,-52.28135752715582,-52.28148314625166,-52.28154473734128,-52.28157645492192,-52.28158655211824,-52.28158916907288
audio-dataset/cats_dogs/dog_barking_21.wav,0,-22.54139340695104,-30.319591691257312,-33.01857170019673,-36.36737547705511,-37.5205067971138,-37.81402900820323,-39.27005393532189,-40.041262449238836,-40.319156646728516,-40.319156646728516,-40.319156646728516,-40.319156646728516,-40.319156646728516,-40.319156646728516,-40.319156646728516,-40.319156646728516,-40.319156646728516,-40.319156646728516,-40.319156646728516,-40.319156646728516,-40.319156646728516,-40.319156646728516,-40.319156646728516,-40.319156646728516,-40.319156646728516
audio-dataset/cats_dogs/cat_22.wav,1,-17.947032859354753,-20.617655885671713,-24.705642480576834,-30.92331311197175,-33.016117503265185,-33.52251751336164,-37.29172799557106,-39.29352409499897,-40.0205556167251,-41.679289641661114,-49.5327349792,-65.83510710082892,-66.55297088623047,-66.55297088623047,-66.55297088623047,-66.55297088623047,-66.55297088623047,-66.55297088623047,-66.55297088623047,-66.55297088623047,-66.55297088623047,-66.55297088623047,-66.55297088623047,-66.55297088623047,-66.55297088623047
audio-dataset/cats_dogs/dog_barking_35.wav,0,-2.7098709213288963,-3.5430350223420533,-13.985053177466858,-18.04402096447186,-32.27464126761783,-38.09538429484648,-40.432506956756114,-42.40386257171631,-39.17381056138447,-39.096787930386405,-40.68810056646664,-45.824748702049256,-46.40182876586914,-46.40182876586914,-46.40182876586914,-46.40182876586914,-46.40182876586914,-46.40182876586914,-46.40182876586914,-46.40182876586914,-46.40182876586914,-46.40182876586914,-46.40182876586914,-46.40182876586914,-46.40182876586914
audio-dataset/cats_dogs/dog_barking_1.wav,0,-12.321818058006034,-19.48898952289512,-30.011880532636425,-33.02840153047035,-35.71670726966334,-36.162691858908474,-37.187270485241385,-37.99761315445822,-38.712897085731306,-40.214605129593096,-43.20037173642728,-45.04425952253996,-45.075260162353516,-45.075260162353516,-45.075260162353516,-45.075260162353516,-45.075260162353516,-45.075260162353516,-45.075260162353516,-45.075260162353516,-45.075260162353516,-45.075260162353516,-45.075260162353516,-45.075260162353516,-45.075260162353516
audio-dataset/cats_dogs/cat_164.wav,1,-4.73616791379522,-1.2711699074485556,-4.472423502809348,-10.715404700653929,-10.993114280826294,-10.073297697051412,-10.70895783915885,-12.230079690873213,-13.731618203808273,-15.425538924986819,-24.5390070910718,-43.02878790639696,-44.92628479003906,-44.92628479003906,-44.92628479003906,-44.92628479003906,-44.92628479003906,-44.92628479003906,-44.92628479003906,-44.92628479003906,-44.92628479003906,-44.92628479003906,-44.92628479003906,-44.92628479003906,-44.92628479003906
audio-dataset/cats_dogs/cat_158.wav,1,-2.7780968701746316,-0.2423878933707289,1.0187112802737637,-0.42988260720989524,-3.046999912132986,-7.834631234899696,-9.401028371513323,-10.327229675217753,-11.128426133252074,-12.790492580749321,-18.245373793318866,-43.73234621570223,-50.7052116394043,-50.7052116394043,-50.7052116394043,-50.7052116394043,-50.7052116394043,-50.7052116394043,-50.7052116394043,-50.7052116394043,-50.7052116394043,-50.7052116394043,-50.7052116394043,-50.7052116394043,-50.7052116394043
audio-dataset/cats_dogs/cat_159.wav,1,-6.1724630088951375,-13.88279769494165,-13.65612974818558,-15.309456433564712,-19.172416765492553,-22.260132153684165,-23.812264448108845,-24.387398338268625,-27.038167659203715,-27.961210092402176,-33.349381916983525,-40.92802127933901,-41.16027069091797,-41.16027069091797,-41.16027069091797,-41.16027069091797,-41.16027069091797,-41.16027069091797,-41.16027069091797,-41.16027069091797,-41.16027069091797,-41.16027069091797,-41.16027069091797,-41.16027069091797,-41.16027069091797
audio-dataset/cats_dogs/cat_165.wav,1,-30.396524763888856,-28.796430841577283,-30.990898798915993,-31.749699392472692,-32.44518699631688,-32.70837417008408,-33.37796883888574,-34.08722798845449,-35.146250470951635,-35.36638187921319,-37.43238354216102,-40.71201167757012,-40.9072151184082,-40.9072151184082,-40.9072151184082,-40.9072151184082,-40.9072151184082,-40.9072151184082,-40.9072151184082,-40.9072151184082,-40.9072151184082,-40.9072151184082,-40.9072151184082,-40.9072151184082,-40.9072151184082
audio-dataset/cats_dogs/dog_barking_0.wav,0,-19.64643896883532,-21.840924725100457,-34.892221610047514,-40.540843575634426,-43.34256762630259,-43.266888810001404,-42.16173229610807,-42.70805051029317,-43.666763594958205,-43.794636455866005,-45.71828584946119,-47.722604724429765,-47.75509262084961,-47.75509262084961,-47.75509262084961,-47.75509262084961,-47.75509262084961,-47.75509262084961,-47.75509262084961,-47.75509262084961,-47.75509262084961,-47.75509262084961,-47.75509262084961,-47.75509262084961,-47.75509262084961
audio-dataset/cats_dogs/dog_barking_34.wav,0,-3.467848862068261,-5.8046122752085605,-26.47313625094285,-28.507473583995104,-38.73575190555083,-37.37216828469404,-40.759952117000104,-40.71752657843295,-40.135593418538924,-39.16545432740516,-40.59350079121675,-41.92361930606398,-42.00086975097656,-42.00086975097656,-42.00086975097656,-42.00086975097656,-42.00086975097656,-42.00086975097656,-42.00086975097656,-42.00086975097656,-42.00086975097656,-42.00086975097656,-42.00086975097656,-42.00086975097656,-42.00086975097656
audio-dataset/cats_dogs/cat_23.wav,1,-18.407424169479302,-20.686377207426005,-24.601244489411553,-29.975202966224614,-31.565452020306473,-34.828999164829796,-37.0154563532763,-37.80301915944791,-39.191786975034525,-41.156643245631685,-48.109519150462084,-59.635933721407135,-60.05313767841548,-60.0565597119914,-60.058780822063454,-60.06024136370663,-60.06120374515585,-60.061884684645904,-60.0623158948274,-60.06259919075944,-60.0627592375915,-60.06283705914182,-60.062877373098424,-60.06289058357342,-60.06289409188663
audio-dataset/cats_dogs/dog_barking_20.wav,0,-13.458283638036175,-13.204464610125385,-23.49241006951035,-24.94970380454153,-32.338534350347395,-33.113121721693204,-32.43780926480716,-36.55563388933506,-38.313933017642,-38.68363952636719,-38.68363952636719,-38.68363952636719,-38.68363952636719,-38.68363952636719,-38.68363952636719,-38.68363952636719,-38.68363952636719,-38.68363952636719,-38.68363952636719,-38.68363952636719,-38.68363952636719,-38.68363952636719,-38.68363952636719,-38.68363952636719,-38.68363952636719
audio-dataset/cats_dogs/cat_37.wav,1,-2.439651077401227,-7.494678547786132,-13.833280225457187,-21.818991313493157,-28.25966589974438,-30.236654961111707,-32.198327441621096,-35.79500986231324,-38.72044830327063,-38.44063675523524,-40.36320567019109,-45.187257461144895,-45.256927490234375,-45.256927490234375,-45.256927490234375,-45.256927490234375,-45.256927490234375,-45.256927490234375,-45.256927490234375,-45.256927490234375,-45.256927490234375,-45.256927490234375,-45.256927490234375,-45.256927490234375,-45.256927490234375
audio-dataset/cats_dogs/cat_21.wav,1,-18.311506246102674,-24.71605909383669,-29.01677856158365,-33.61918084016204,-37.15798804355041,-39.20353412145183,-40.91375409852283,-42.07283692954619,-42.762808760818174,-44.024532187320986,-50.94634529873898,-65.92529588762055,-66.62640380859375,-66.62640380859375,-66.62640380859375,-66.62640380859375,-66.62640380859375,-66.62640380859375,-66.62640380859375,-66.62640380859375,-66.62640380859375,-66.62640380859375,-66.62640380859375,-66.62640380859375,-66.62640380859375
