,0,1,2,animal
58,-13.223334874307692,-18.07868016804441,-27.25667839082713,0
59,-14.448677260185375,-9.144546443229036,-9.855374161348664,1
60,-13.138528091226144,-12.013474352594455,-20.669725815821412,0
61,6.067544264090957,-1.3094893389357931,-10.934617691980137,0
62,-2.0394919373442084,-9.839026675896395,-17.490525172152434,1
63,2.926623622360639,0.3475412287004291,4.978575553030609,1
64,0.0298433822510461,-5.4803279895250485,-2.301425697948446,1
65,-28.851856227333514,-12.607461864542527,-16.362288935451275,1
66,4.5236511470053795,-2.5220384368886206,-9.014414174670287,0
67,-12.22635272049578,-13.574316887990074,-24.567555037750868,0
68,-15.832010551135651,-9.364409818376432,-7.562777517609706,1
69,-9.66558666688586,-16.595179217274364,-27.140937244449727,0
70,-8.825780959709249,-7.344897712272636,-6.638661649183167,1
71,-12.6443536573667,-9.966935394459696,-11.04603020423246,1
72,-13.508939462441322,-1.9542521214440056,-10.750795887396777,1
73,-12.18834173790422,-8.634111783969052,-14.456415676319937,0
74,-7.719052615645144,-13.382015379439522,-23.701103484745136,0
75,6.684708183743351,3.15480626958694,-0.3176023146370424,0
76,6.2588393009249845,-8.297923422677247,-8.72005941925904,1
77,-15.03189398501272,-19.45448173006298,-25.304552305682016,1
78,-23.574056844832477,-14.112252464057462,-10.709696321313643,1
79,-2.7428622776426503,5.212776828228286,-4.107255713217646,0
80,-1.4640640791079105,-4.843200777590973,-29.206280728476475,0
81,-12.18834173790422,-8.634111783969052,-14.456415676319937,0
82,-16.023911966553197,-22.90305388980403,-13.243621766274789,1
83,-7.421714385556941,-2.554531625023685,-15.23671640459806,0
84,-37.36672377852273,-33.20001070627221,-35.133503785939844,1
85,-2.7291635268947383,-2.9064386813728653,-11.9837004145425,1
86,-10.09363245301911,-17.000487878630757,-15.29907409995211,1
87,-4.938660336750327,-11.706230819795406,-15.834782820371782,1
88,-5.860418079458691,-13.16389362663541,-14.095622904568398,1
89,-10.35824822968274,-16.276324166350424,-13.945871105947116,1
90,-2.710191415018839,-2.5041839287909577,-8.912075931121779,1
91,-9.720059383349378,-10.521323275294185,-17.433216974894144,1
92,-11.86941557950722,-19.474172821932687,-30.541395637501303,0
93,-24.37633194076384,-27.9962385104605,-31.40228002563905,1
94,-2.833489873080844,-4.924095055895661,-18.571982223481676,0
95,-12.773799631294647,-24.546629831540653,-28.88380714958397,1
96,-17.07258383411286,-24.485438283410733,-25.10805175041312,1
97,-13.133120421836043,-13.480466640160518,-10.321195941797956,1
98,-6.846286743693358,-8.3290056732967,-10.356016366889405,1
99,-7.884918414202754,-4.288991599035682,-10.994489809864836,1
100,-18.59355201762615,-9.311437532959822,-4.4002267084565885,1
101,3.4736100732424844,-0.5513068044792614,-13.573778713314162,0
102,8.164223384364771,-0.9364895978041188,-10.314590015127164,1
103,-2.9539902112609475,-3.037184180625401,-25.394634625086248,0
104,-14.477970365522012,-24.97761437673477,-29.082173938139785,1
105,-10.19897531061807,-31.633614472400637,-37.81391270320572,0
106,-7.2463512833723245,0.6849143479348105,-0.1391192942096539,1
107,-7.996870752951852,-12.343427242153432,-12.915833351790235,1
108,0.7050563535130036,-0.3287008059848828,-5.662655827198618,1
109,-6.591917836626993,1.8661648970688696,4.701617343973086,1
110,-0.0113819594735429,-9.190624045711193,-21.3231710389877,0
111,-14.376461547404812,-26.436802762312738,-31.6402914599134,1
112,-0.1034613888369575,-2.4207408408247035,-21.5341790675508,0
113,-4.66564336290771,-7.588943232111231,-9.81283990310484,1
114,-22.54139340695104,-30.319591691257312,-33.01857170019673,0
