,0,1,2,animal
87,-2.360402326365084,-8.100968417605413,-9.965555615518593,1
88,-3.0051658054945176,-9.45743461384046,-11.296276320063098,1
89,-7.476970696174404,-14.40883631175161,-22.433196303690753,1
90,-1.220847566762882,-4.456105416403144,-2.6225755566889792,1
91,-7.092849044338754,-12.735315673547351,-10.966750587554872,1
92,-9.175165983165384,-14.074422266147993,-16.059707273991524,0
93,-21.991722366464707,-27.254386642734804,-28.293828483864647,1
94,-10.341024032119106,6.77241782553049,-2.677886097125233,0
95,-9.026945253523987,-16.722415831393963,-23.695906423161983,1
96,-9.854744054722133,-25.528226158431913,-24.468750316071397,1
97,-13.79148636198557,-13.193181504024723,-11.814841521208423,1
98,-7.801451244029336,-6.811006291098579,-8.031746417514917,1
99,-8.514513261968863,-3.873860145744614,-0.8423199569378892,1
100,-23.49266742853301,-12.855222964995049,-11.6409843284835,1
101,0.2665164738433719,8.483792423638995,1.479487191443126,0
102,11.468488029506675,3.463261111099891,1.027269178153625,1
103,-7.39279053110898,2.6616858622617765,-0.3811307740637396,0
104,-10.905795014835457,-18.689735036184754,-23.791927770327405,1
105,-9.11936108523135,-11.98376329175198,-28.912078317096267,0
106,-11.311882676208084,-1.0708379177725251,0.9565990157425404,1
107,-6.338193352852159,-10.81864835283851,-15.250228428088388,1
108,-1.4790693890777007,1.8495142204369197,-6.461204711447821,1
109,-10.691796129948717,-1.9610326266593547,3.06627049645155,1
110,-2.0207760079411083,3.723880040681643,-5.385627540514159,0
111,-11.300995628244388,-17.815960882986406,-24.56000678980715,1
112,-5.311534513112021,5.542024852250846,-0.9650717286467554,0
113,-4.029815073838272,-5.223873182317264,-5.88137729854586,1
114,-26.668668473778027,-17.53436471747886,-29.941140524850695,0
115,-16.513173442908826,-19.274864880316574,-18.46262381605682,1
116,-8.425355191072873,2.551170052320442,-3.1714970930214887,0
117,-15.694012860580058,-8.765754183029296,-17.272117376772233,0
118,-4.994356615730346,-4.936167920855033,-2.0782745593099694,1
119,-6.088103188146149,0.6608743431651365,0.936788561281294,1
120,-3.694458342804873,-8.36872226494201,-12.898582287623908,1
121,-32.04885900356124,-28.615988687546004,-28.66928858894593,1
122,-23.26978929639643,-15.634527878217137,-19.702307771430483,0
123,-8.065276477562202,1.731692584735952,-5.080981890172918,0
124,-17.068000191589718,-19.466708676306645,-18.306828498227752,1
125,-23.58661002294116,-2.14585878368505,-12.30547500939904,0
126,-1.7004125090956892,-2.7227333358288637,-5.225684694066851,1
127,-17.191034027598537,-19.689613996751937,-24.221456432059043,1
128,-6.863550677933239,3.338990977257319,-8.767525313496268,0
129,-6.850359895983218,-7.4813911630794045,-8.634242386043285,1
130,-23.812426819696693,-33.44301863400073,-19.341345801467785,0
131,-16.437949029128514,-9.367510818329528,-17.415188331600152,0
132,-30.067153319619027,-25.599425276664228,-26.58924025409534,1
133,-35.08225375383559,-32.67242652065998,-32.75844163304461,1
134,-6.168930679281392,-5.033572971593855,-11.374458564524636,0
135,-20.31940439444763,-12.352773910141847,-20.36659020977049,0
136,-12.927869346706256,-7.194446799303265,-7.324023497651539,1
137,-7.572513604890341,0.2120779460986326,-6.192161653033042,0
138,0.8255522079099051,-7.025139047684868,-6.0235030148830955,1
139,-22.31150846348783,-5.962865484416608,-3.411931521435314,1
140,17.656862339525894,10.733546571236207,1.233272916753675,1
141,-8.601723252739252,-0.6160475267551265,-7.701680682927066,0
142,-1.657805149138163,-3.701002873384043,-1.4895437662212103,1
143,-4.063703912085409,4.209788100463232,4.255882647147783,0
144,-13.529698470518609,-8.760929988908835,-7.783590852505977,0
145,-9.306153926536885,-20.14523009357675,-19.915049136492495,1
146,-8.792227059329603,-17.509477753502278,-17.833057294842774,1
147,-18.91362333192096,-10.52702858878299,-13.471768377439838,0
148,-9.02086161820642,-6.947539779410001,-9.707639391726088,0
149,-4.956966092269426,-9.286435204278172,-13.162590468993626,1
150,-6.9317341253950815,1.6163629201083545,-4.881164675925438,0
151,-13.226299034623302,-18.17310609654175,-21.365011090166437,1
152,-8.333549652214755,-22.54064294301774,-7.770221569426051,1
153,-16.733311587712105,-0.996963225080064,-9.03265641181985,0
154,-11.350823483016915,-3.884861020294778,0.1694482615440191,1
155,-23.77562685851586,-17.488378411628048,-18.48792076198721,0
156,-10.951564105193723,-11.802793634450063,-12.500507943361828,1
157,-8.199952892361459,1.8843838790019465,-4.723410116016263,0
158,-14.153323126759544,-4.183419028295727,-9.11107501781419,0
159,0.6610468090357254,-11.262355497634417,-10.93639173591068,1
160,-14.015998153317735,-20.633952190761537,-19.913170998188196,1
161,-3.653708145925029,-8.03550188141202,-12.345522863188895,1
162,-3.328401052672319,-9.288945292307565,-10.397292425121982,1
163,-16.151739432110404,-12.792478125487564,-7.802644767595532,0
164,-7.190922498328357,-0.2616139557865223,-5.156639441563246,0
165,-9.864989300044952,-13.45619655266522,-15.626101994338509,1
166,6.067187568309429,4.9323130094643375,2.6748940013367295,0
167,-2.6809296200786625,-1.3215881981463595,-4.720588489477946,1
168,-25.753462938465585,3.3127136695360435,-10.396662965789362,0
169,-10.411722829224836,-11.356559143193069,-15.313620201382344,1
170,-25.872594848704708,-4.40829617096041,-10.202974026076944,1
171,-3.468039150307085,4.834809635392414,-3.7225453256396577,0
172,-7.003589775564632,-7.077605475192048,-10.235023380392123,1
173,-11.639527178346864,2.5566774583175658,-6.1929481610381485,0
174,-18.55962151451805,-21.035399146983348,-20.443078855080895,1
175,-18.861203796839312,-5.699574553523399,-13.831616394292514,0
176,-6.802972243503792,-6.7159277412034895,-8.248588455808516,1
177,-15.23914180851155,-4.024089088131438,-5.052537635315429,0
178,-0.3884715538387661,6.996387902131263,-0.9380387536307946,1
179,10.309074026003882,8.494400885420639,7.574269408162189,0
180,-0.2593700883735161,-10.332099615064848,-12.281748268557308,1
181,-10.925922211439309,-8.057346951158886,-16.69027676914988,1
182,-1.386225633999311,-1.253913737496845,-0.9693525509004416,1
183,-2.258952903883819,-10.276953671995498,-11.402626659521164,1
184,-10.183844195915103,4.9966437911009365,4.066958993159735,0
185,0.3901399124241358,2.182169781219896,-8.728594349866334,0
186,-20.421371274173815,-9.611888120110022,-6.005460598140211,1
187,-10.266321820025375,-6.433414855041364,-12.047608034165464,0
188,-4.963497043456659,9.279176946764954,3.4272958366624695,1
189,-11.847011499475933,-0.7801884998904701,-9.738915445807097,0
190,-40.33783096460505,-40.35691078801857,-40.23031623054021,1
191,-11.879612177969472,0.6262042734089444,-6.774231939513052,0
192,-22.453588560150113,-24.462725338801658,-26.17708183020412,1
193,-7.962414134126477,-0.9248307112277306,-7.782657629495927,0
194,-20.853204415603116,1.2932104874339518,-0.247638939074142,1
195,-8.560969824854144,-9.369285729405505,-13.338527737764696,1
196,-1.7465022305959472,-8.538277505129143,-12.60653537634659,1
197,-11.077684197522755,1.6968418742679725,-4.306335933223892,0
198,-21.092005595053084,-2.239154810140455,-5.338907947726171,1
199,-4.611890129927567,3.27719148501902,-5.909946173762861,0
200,-5.997841623415522,0.4055697660778655,-4.131831855100784,0
201,-17.138986893029838,-11.939998816752778,-15.11824640693909,0
202,2.4261670563364586,9.755847496882028,1.915240600956526,1
203,-12.186061022052291,-4.100130521429668,-13.116937641315785,0
204,-6.480926534712697,-6.638137415597968,-7.5700867455247645,1
205,-9.327069527417107,-9.929951628203264,-13.818871552525888,0
206,-11.122693186565012,-8.515329772242621,-12.921679511797493,0
207,-2.27215925379405,-6.748718770814881,-7.247411863808487,1
208,-7.0181866077160695,6.824991981241052,12.156157083093564,1
209,-9.19432716128501,2.827221652655439,5.297207665585659,1
